;Academia_x;Acesso Wi-Fi nos quartos_x;Acesso direto à praia_x;Animais permitidos_x;Ar condicionado_x;Banheiro com banheira_x;Banheiro com ducha_x;Bar na beira da Piscina_x;Bar no hotel_x;Cabeleireiro_x;Canais de TV via satélite_x;Centro financeiro_x;Check-in / out Expresso_x;Cofre na recepção_x;Cofre no quarto_x;Concierge_x;Cozinha quitinete_x;Elevador_x;Espelho de aumento_x;Estacionamento_x;Ferro e tábua de passar_x;Geladeira_x;Guarda-sol_x;Internet_x;Lavanderia_x;Loja de conveniência_x;Mesa de trabalho_x;Microondas_x;Nome;PC com Internet_x;Piscina exterior_x;Piscina interna_x;Quarto para não-fumantes_x;Recepção 24 horas_x;Restaurante_x;Sala de conferências_x;Secador_x;Serviço de portaria_x;Serviço de quarto_x;Serviço de quarto 24 horas_x;Spa_x;TV LCD_x;TV a cabo_x;Telefone_x;Terraço_x;Transfer de/ para aeroporto_x;Varanda / Terraço_x;Wi-Fi grátis no lobby_x;Wi-Fi grátis nos quartos_x;cafe_da_manha;comida;conforto;custo-beneficio;facilidades;limpeza;localizacao;predio;quartos;servico;Academia_y;Acesso direto à praia_y;Animais permitidos_y;Bar na beira da Piscina_y;Bar no hotel_y;Cabeleireiro_y;Centro financeiro_y;Check-in / out Expresso_y;Cofre na recepção_y;Concierge_y;Elevador_y;Estacionamento_y;Guarda-sol_y;Lavanderia_y;Loja de conveniência_y;PC com Internet_y;Piscina exterior_y;Piscina interna_y;Quarto para não-fumantes_y;Recepção 24 horas_y;Restaurante_y;Sala de conferências_y;Serviço de portaria_y;Serviço de quarto_y;Serviço de quarto 24 horas_y;Spa_y;Terraço_y;Transfer de/ para aeroporto_y;Wi-Fi grátis no lobby_y;Acesso Wi-Fi nos quartos_y;Ar condicionado_y;Banheiro com banheira_y;Banheiro com ducha_y;Canais de TV via satélite_y;Cofre no quarto_y;Cozinha quitinete_y;Espelho de aumento_y;Ferro e tábua de passar_y;Geladeira_y;Internet_y;Mesa de trabalho_y;Microondas_y;Secador_y;Telefone_y;TV a cabo_y;TV LCD_y;Varanda / Terraço_y;Wi-Fi grátis nos quartos_y;Academia_x;Acesso direto à praia_x;Animais permitidos_x;Bar na beira da Piscina_x;Bar no hotel_x;Cabeleireiro_x;Centro financeiro_x;Check-in / out Expresso_x;Cofre na recepção_x;Concierge_x;Elevador_x;Estacionamento_x;Guarda-sol_x;Lavanderia_x;Loja de conveniência_x;PC com Internet_x;Piscina exterior_x;Piscina interna_x;Quarto para não-fumantes_x;Recepção 24 horas_x;Restaurante_x;Sala de conferências_x;Serviço de portaria_x;Serviço de quarto_x;Serviço de quarto 24 horas_x;Spa_x;Terraço_x;Transfer de/ para aeroporto_x;Wi-Fi grátis no lobby_x;Acesso Wi-Fi nos quartos_x;Ar condicionado_x;Banheiro com banheira_x;Banheiro com ducha_x;Canais de TV via satélite_x;Cofre no quarto_x;Cozinha quitinete_x;Espelho de aumento_x;Ferro e tábua de passar_x;Geladeira_x;Internet_x;Mesa de trabalho_x;Microondas_x;Secador_x;Telefone_x;TV a cabo_x;TV LCD_x;Varanda / Terraço_x;Wi-Fi grátis nos quartos_x;Academia_y;Acesso direto à praia_y;Animais permitidos_y;Bar na beira da Piscina_y;Bar no hotel_y;Cabeleireiro_y;Centro financeiro_y;Check-in / out Expresso_y;Cofre na recepção_y;Concierge_y;Elevador_y;Estacionamento_y;Guarda-sol_y;Lavanderia_y;Loja de conveniência_y;PC com Internet_y;Piscina exterior_y;Piscina interna_y;Quarto para não-fumantes_y;Recepção 24 horas_y;Restaurante_y;Sala de conferências_y;Serviço de portaria_y;Serviço de quarto_y;Serviço de quarto 24 horas_y;Spa_y;Terraço_y;Transfer de/ para aeroporto_y;Wi-Fi grátis no lobby_y;Acesso Wi-Fi nos quartos_y;Ar condicionado_y;Banheiro com banheira_y;Banheiro com ducha_y;Canais de TV via satélite_y;Cofre no quarto_y;Cozinha quitinete_y;Espelho de aumento_y;Ferro e tábua de passar_y;Geladeira_y;Internet_y;Mesa de trabalho_y;Microondas_y;Secador_y;Telefone_y;TV a cabo_y;TV LCD_y;Varanda / Terraço_y;Wi-Fi grátis nos quartos_y;Academia;Acesso direto à praia;Animais permitidos;Bar na beira da Piscina;Bar no hotel;Cabeleireiro;Centro financeiro;Check-in / out Expresso;Cofre na recepção;Concierge;Elevador;Estacionamento;Guarda-sol;Lavanderia;Loja de conveniência;PC com Internet;Piscina exterior;Piscina interna;Quarto para não-fumantes;Recepção 24 horas;Restaurante;Sala de conferências;Serviço de portaria;Serviço de quarto;Serviço de quarto 24 horas;Spa;Terraço;Transfer de/ para aeroporto;Wi-Fi grátis no lobby;Acesso Wi-Fi nos quartos;Ar condicionado;Banheiro com banheira;Banheiro com ducha;Canais de TV via satélite;Cofre no quarto;Cozinha quitinete;Espelho de aumento;Ferro e tábua de passar;Geladeira;Internet;Mesa de trabalho;Microondas;Secador;Telefone;TV a cabo;TV LCD;Varanda / Terraço;Wi-Fi grátis nos quartos
56;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;Aconchego Recife;1;1;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;;;;;;;;;;;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Aconchego Recife;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;73;77;73;76.0;86;74;69;81;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
58;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;Navegantes Praia;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;;;;;;;;;;;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1
59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Navegantes Praia;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;69;75;71;75.0;87;71;71;79;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1
60;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;Novohotell Recife;1;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1;;;;;;;;;;;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1
61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Novohotell Recife;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;75;78;76;84.0;82;77;Não avaliadoNão disponível;83;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1
62;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;Imperial Suites;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;;;;;;;;;;;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1
63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Imperial Suites;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;81;84;81;83.0;88;Não avaliadoNão disponível;Não avaliadoNão disponível;86;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1
64;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;Saveiro;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Saveiro;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;71;78;71;78.0;87;Não avaliadoNão disponível;73;83;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
66;1;1;1;0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;0;1;0;Marante Plaza;1;1;0;0;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;1;;;;;;;;;;;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1
67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Marante Plaza;;;;;;;;;;;;;;;;;;;;;74;75;73;72;74;78.0;87;71;71;78;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;1
68;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;Enseada Aeroporto;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;1;;;;;;;;;;;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1
69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Enseada Aeroporto;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;79;83;78;87.0;75;80;Não avaliadoNão disponível;78;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1
70;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;Recife Plaza;1;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;1;;;;;;;;;;;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1
71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Recife Plaza;;;;;;;;;;;;;;;;;;;;;76;77;65;68;67;70.0;78;64;70;74;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1
72;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;Inter Hotel;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1
73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Inter Hotel;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;75;79;74;82.0;80;79;73;84;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1
74;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;1;0;1;0;Uzi Praia;0;1;0;1;1;1;0;0;0;1;0;0;0;1;1;1;1;0;0;1;;;;;;;;;;;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1
75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Uzi Praia;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;72;80;74;79.0;86;74;71;78;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1
76;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;Julieta;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;;;;;;;;;;;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1
77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Julieta;;;;;;;;;;;;;;;;;;;;;Não avaliadoNão disponível;Não avaliadoNão disponível;78;84;77;86.0;89;Não avaliadoNão disponível;Não avaliadoNão disponível;86;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1
78;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;Pousada Casuarinas;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;;;;;;;;;;;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1
